### Mat_lambda_in_lo_PPDI_PBDT-TS1_S1_S17_B3LYP_6-31Gs lambda_in_lo in eV matrix (Def: Sx=Spalte)) S1= PPDI, S2= CarboxS2 Untereinheit A, S3=Schwefel6-Untereinheit B, S4=AB, S5=ABA; S6=BAB; S7=ABAB; S8=ABABA; S9=BABAB, S10=ABABAB ; S11=ABABABA, S12=BABABAB ... S17 =8mer=7mer daten
0.0806	0.1750	0.4963	0.3635	0.2446	0.1763	0.1843	0.1679	0.1587	0.1459	0.1463	0.1329	0.1369	0.1161	0.0970	0.0851	0.0851
0.1859	0.2803	0.6017	0.4688	0.3500	0.2816	0.2897	0.2732	0.2640	0.2513	0.2516	0.2382	0.2422	0.2214	0.2024	0.1905	0.1905
0.3597	0.4541	0.7755	0.6426	0.5238	0.4554	0.4635	0.4470	0.4378	0.4250	0.4254	0.4120	0.4160	0.3952	0.3761	0.3643	0.3643
0.3225	0.4169	0.7382	0.6054	0.4865	0.4182	0.4263	0.4098	0.4006	0.3878	0.3882	0.3748	0.3788	0.3580	0.3389	0.3271	0.3271
0.2075	0.3019	0.6232	0.4904	0.3715	0.3032	0.3112	0.2948	0.2856	0.2728	0.2732	0.2598	0.2637	0.2430	0.2239	0.2120	0.2120
0.1544	0.2488	0.5701	0.4373	0.3184	0.2501	0.2582	0.2417	0.2325	0.2197	0.2201	0.2067	0.2107	0.1899	0.1708	0.1590	0.1590
0.1314	0.2258	0.5471	0.4143	0.2954	0.2271	0.2351	0.2187	0.2095	0.1967	0.1971	0.1837	0.1877	0.1669	0.1478	0.1359	0.1359
0.1512	0.2456	0.5669	0.4341	0.3152	0.2469	0.2550	0.2385	0.2293	0.2165	0.2169	0.2035	0.2075	0.1867	0.1676	0.1558	0.1558
0.1430	0.2375	0.5588	0.4259	0.3071	0.2388	0.2468	0.2303	0.2212	0.2084	0.2088	0.1953	0.1993	0.1785	0.1595	0.1476	0.1476
0.1383	0.2327	0.5540	0.4212	0.3023	0.2340	0.2420	0.2256	0.2164	0.2036	0.2040	0.1906	0.1946	0.1738	0.1547	0.1428	0.1428
0.1301	0.2245	0.5459	0.4130	0.2941	0.2258	0.2339	0.2174	0.2082	0.1954	0.1958	0.1824	0.1864	0.1656	0.1465	0.1347	0.1347
0.1266	0.2211	0.5424	0.4096	0.2907	0.2224	0.2304	0.2139	0.2048	0.1920	0.1924	0.1790	0.1829	0.1621	0.1431	0.1312	0.1312
0.1146	0.2090	0.5303	0.3975	0.2786	0.2103	0.2183	0.2019	0.1927	0.1799	0.1803	0.1669	0.1708	0.1501	0.1310	0.1191	0.1191
0.1015	0.1959	0.5172	0.3844	0.2655	0.1972	0.2052	0.1888	0.1796	0.1668	0.1672	0.1538	0.1577	0.1369	0.1179	0.1060	0.1060
0.0921	0.1865	0.5078	0.3750	0.2561	0.1878	0.1959	0.1794	0.1702	0.1574	0.1578	0.1444	0.1484	0.1276	0.1085	0.0967	0.0967
0.0886	0.1830	0.5043	0.3715	0.2526	0.1843	0.1923	0.1759	0.1667	0.1539	0.1543	0.1409	0.1449	0.1241	0.1050	0.0932	0.0932
0.0886	0.1830	0.5043	0.3715	0.2526	0.1843	0.1923	0.1759	0.1667	0.1539	0.1543	0.1409	0.1449	0.1241	0.1050	0.0932	0.0932
