# Curve 0 of 1, 3600 points
# Curve title: ""CDFT_PBE_P3DT-TS1-1mer_CDFT_PBE_BA_electrons.dat" u 1:8"
# x y type
 0.000000  1.06807  i
 0.100028  1.06795  i
 0.200056  1.06782  i
 0.300083  1.0677  i
 0.400111  1.06758  i
 0.500139  1.06745  i
 0.600167  1.06733  i
 0.700194  1.06721  i
 0.800222  1.06708  i
 0.90025  1.06696  i
 1.00028  1.06683  i
 1.10031  1.06671  i
 1.20033  1.06658  i
 1.30036  1.06645  i
 1.40039  1.06632  i
 1.50042  1.06619  i
 1.60044  1.06606  i
 1.70047  1.06593  i
 1.8005  1.0658  i
 1.90053  1.06567  i
 2.00056  1.06553  i
 2.10058  1.06539  i
 2.20061  1.06526  i
 2.30064  1.06512  i
 2.40067  1.06498  i
 2.50069  1.06484  i
 2.60072  1.06469  i
 2.70075  1.06455  i
 2.80078  1.0644  i
 2.90081  1.06425  i
 3.00083  1.0641  i
 3.10086  1.06395  i
 3.20089  1.0638  i
 3.30092  1.06364  i
 3.40094  1.06348  i
 3.50097  1.06332  i
 3.601  1.06316  i
 3.70103  1.06299  i
 3.80106  1.06282  i
 3.90108  1.06265  i
 4.00111  1.06248  i
 4.10114  1.06231  i
 4.20117  1.06213  i
 4.30119  1.06195  i
 4.40122  1.06176  i
 4.50125  1.06158  i
 4.60128  1.06139  i
 4.70131  1.0612  i
 4.80133  1.061  i
 4.90136  1.06081  i
 5.00139  1.0606  i
 5.10142  1.0604  i
 5.20144  1.06019  i
 5.30147  1.05998  i
 5.4015  1.05977  i
 5.50153  1.05955  i
 5.60156  1.05933  i
 5.70158  1.0591  i
 5.80161  1.05888  i
 5.90164  1.05864  i
 6.00167  1.05841  i
 6.10169  1.05817  i
 6.20172  1.05792  i
 6.30175  1.05768  i
 6.40178  1.05742  i
 6.50181  1.05717  i
 6.60183  1.05691  i
 6.70186  1.05665  i
 6.80189  1.05638  i
 6.90192  1.0561  i
 7.00194  1.05583  i
 7.10197  1.05555  i
 7.202  1.05526  i
 7.30203  1.05497  i
 7.40206  1.05467  i
 7.50208  1.05437  i
 7.60211  1.05407  i
 7.70214  1.05376  i
 7.80217  1.05344  i
